time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,train_time,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-01 07:05:23.959524,cifar,0.1,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,354.7292,0.1863,0.3395,898.9736328125,485.408203125,0.1402,0.1628,462.4853515625,50.11328125
2022-12-01 07:11:24.204925,cifar,0.2,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,361.5624,0.1855,0.3403,898.9736328125,485.408203125,0.1407,0.2365,511.1181640625,99.3359375
2022-12-01 07:17:31.254065,cifar,0.3,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,362.8671,0.1832,0.3547,898.9736328125,485.408203125,0.1438,0.2624,559.7509765625,148.546875
2022-12-01 07:23:39.638940,cifar,0.4,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,362.2396,0.182,0.355,898.9736328125,485.408203125,0.1449,0.317,608.3837890625,197.7607421875
2022-12-01 07:29:47.402478,cifar,0.5,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,357.1181,0.1836,0.3571,898.9736328125,485.408203125,0.1465,0.3503,657.0166015625,246.9716796875
2022-12-01 07:35:50.048283,cifar,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,358.3482,0.1869,0.3332,898.9736328125,485.408203125,0.1533,0.3298,705.6494140625,296.1826171875
2022-12-01 07:41:53.930516,cifar,0.7,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,363.9221,0.1884,0.3422,898.9736328125,485.408203125,0.1556,0.3417,754.2822265625,345.3935546875
2022-12-01 07:48:03.450775,cifar,0.8,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,354.2073,0.1859,0.3673,898.9736328125,485.408203125,0.1545,0.3654,802.9150390625,394.6044921875
2022-12-01 07:54:03.216058,cifar,0.9,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,363.751,0.1824,0.3623,898.9736328125,485.408203125,0.1832,0.3616,851.5478515625,443.8154296875
2022-12-01 08:00:12.532744,cifar,1.0,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,360.1533,0.1846,0.3712,898.9736328125,485.408203125,0.1857,0.3712,900.1806640625,493.0263671875
