time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,train_time,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-01 06:04:10.169023,cifar,0.1,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,365.402,0.1846,0.362,898.9736328125,485.408203125,0.1492,0.1685,899.0009765625,485.408203125
2022-12-01 06:10:21.122152,cifar,0.2,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,362.6364,0.185,0.3554,898.9736328125,485.408203125,0.1522,0.2181,899.0009765625,485.408203125
2022-12-01 06:16:29.260289,cifar,0.3,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,352.5478,0.1839,0.3514,898.9736328125,485.408203125,0.1494,0.2617,899.0009765625,485.408203125
2022-12-01 06:22:27.322041,cifar,0.4,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,362.0576,0.1865,0.3505,898.9736328125,485.408203125,0.1471,0.3207,899.0009765625,485.408203125
2022-12-01 06:28:34.886458,cifar,0.5,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,364.1072,0.184,0.3637,898.9736328125,485.408203125,0.1498,0.356,899.0009765625,485.408203125
2022-12-01 06:34:44.518563,cifar,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,365.7448,0.1839,0.329,898.9736328125,485.408203125,0.1507,0.3237,899.0009765625,485.408203125
2022-12-01 06:40:55.780787,cifar,0.7,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,364.6668,0.1876,0.364,898.9736328125,485.408203125,0.154,0.362,899.0009765625,485.408203125
2022-12-01 06:47:06.050119,cifar,0.8,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,358.1112,0.1824,0.3665,898.9736328125,485.408203125,0.1499,0.3643,899.0009765625,485.408203125
2022-12-01 06:53:09.679370,cifar,0.9,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,361.0634,0.1819,0.374,898.9736328125,485.408203125,0.1803,0.3744,899.0009765625,485.408203125
2022-12-01 06:59:16.278282,cifar,1.0,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,362.0914,0.186,0.3777,898.9736328125,485.408203125,0.1844,0.3777,899.0009765625,485.408203125
