time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,train_time,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-01 04:12:04.075582,cifar,0.1,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,350.2893,0.1832,0.3277,898.9736328125,485.408203125,0.1385,0.1652,462.4853515625,50.11328125
2022-12-01 04:17:59.902098,cifar,0.2,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,359.6144,0.1865,0.3731,898.9736328125,485.408203125,0.141,0.2264,511.1181640625,99.3359375
2022-12-01 04:24:05.033835,cifar,0.3,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,360.4796,0.1839,0.3469,898.9736328125,485.408203125,0.1547,0.2703,559.7509765625,148.546875
2022-12-01 04:30:11.058839,cifar,0.4,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,356.8422,0.1829,0.3809,898.9736328125,485.408203125,0.1443,0.2595,608.3837890625,197.7607421875
2022-12-01 04:36:13.406365,cifar,0.5,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,365.0549,0.1875,0.3609,898.9736328125,485.408203125,0.1499,0.3484,657.0166015625,246.9716796875
2022-12-01 04:42:23.978027,cifar,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,357.7375,0.1846,0.3558,898.9736328125,485.408203125,0.152,0.3438,705.6494140625,296.1826171875
2022-12-01 04:48:27.270945,cifar,0.7,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,362.9724,0.1851,0.3515,898.9736328125,485.408203125,0.1529,0.3451,754.2822265625,345.3935546875
2022-12-01 04:54:35.763956,cifar,0.8,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,359.0641,0.186,0.3555,898.9736328125,485.408203125,0.155,0.3516,802.9150390625,394.6044921875
2022-12-01 05:00:40.354419,cifar,0.9,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,360.7018,0.1845,0.3477,898.9736328125,485.408203125,0.1849,0.3463,851.5478515625,443.8154296875
2022-12-01 05:06:46.637784,cifar,1.0,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,359.5643,0.1833,0.3632,898.9736328125,485.408203125,0.1838,0.3619,900.1806640625,493.0263671875
