time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,train_time,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-01 03:11:16.102063,cifar,0.1,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,362.2951,0.1848,0.3416,898.9736328125,485.408203125,0.1497,0.1673,899.0009765625,485.408203125
2022-12-01 03:17:23.914159,cifar,0.2,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,364.163,0.1883,0.3662,898.9736328125,485.408203125,0.153,0.2108,899.0009765625,485.408203125
2022-12-01 03:23:33.624661,cifar,0.3,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,342.1261,0.1828,0.3382,898.9736328125,485.408203125,0.1495,0.2513,899.0009765625,485.408203125
2022-12-01 03:29:21.266188,cifar,0.4,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,359.8675,0.1828,0.3395,898.9736328125,485.408203125,0.1484,0.282,899.0009765625,485.408203125
2022-12-01 03:35:26.688001,cifar,0.5,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,363.1237,0.1841,0.3501,898.9736328125,485.408203125,0.1503,0.3387,899.0009765625,485.408203125
2022-12-01 03:41:35.332263,cifar,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,358.2967,0.1848,0.3729,898.9736328125,485.408203125,0.1511,0.3679,899.0009765625,485.408203125
2022-12-01 03:47:39.166763,cifar,0.7,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,366.4355,0.1869,0.3503,898.9736328125,485.408203125,0.1528,0.3468,899.0009765625,485.408203125
2022-12-01 03:53:51.114346,cifar,0.8,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,354.4841,0.1844,0.3661,898.9736328125,485.408203125,0.1499,0.3549,899.0009765625,485.408203125
2022-12-01 03:59:51.112937,cifar,0.9,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,361.1942,0.1849,0.348,898.9736328125,485.408203125,0.1821,0.3482,899.0009765625,485.408203125
2022-12-01 04:05:57.815883,cifar,1.0,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,360.6947,0.1823,0.3501,898.9736328125,485.408203125,0.1802,0.3476,899.0009765625,485.408203125
