time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:20:10.325509,cifar10,0.1,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1596,0.3575,2.8984375,554.9287109375,0.1413,0.1736,51.03125,67.900390625
2022-12-02 08:20:17.823330,cifar10,0.2,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1717,0.3575,2.8984375,554.9287109375,0.1379,0.2076,99.6640625,123.1083984375
2022-12-02 08:20:25.401163,cifar10,0.3,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1686,0.3575,2.8984375,554.9287109375,0.1516,0.2761,148.296875,178.1318359375
2022-12-02 08:20:32.957200,cifar10,0.4,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1745,0.3575,2.8984375,554.9287109375,0.1491,0.3202,196.9296875,233.2021484375
2022-12-02 08:20:40.526089,cifar10,0.5,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1634,0.3575,2.8984375,554.9287109375,0.1418,0.3521,245.5625,288.1943359375
2022-12-02 08:20:48.083106,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1724,0.3575,2.8984375,554.9287109375,0.1572,0.3544,294.1953125,343.2177734375
2022-12-02 08:20:55.662901,cifar10,0.7,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1755,0.3575,2.8984375,554.9287109375,0.1604,0.3545,342.828125,398.1552734375
2022-12-02 08:21:03.215216,cifar10,0.8,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1675,0.3575,2.8984375,554.9287109375,0.1571,0.3576,391.4609375,453.0458984375
2022-12-02 08:21:10.778583,cifar10,0.9,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1644,0.3575,2.8984375,554.9287109375,0.1834,0.357,440.09375,508.013671875
2022-12-02 08:21:18.364307,cifar10,1.0,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1767,0.3575,2.8984375,554.9287109375,0.1841,0.3575,488.7265625,562.818359375
