time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:17:39.291284,cifar10,0.1,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1667,0.3575,2.8984375,554.9287109375,0.1394,0.1736,51.03125,67.900390625
2022-12-02 08:17:46.764352,cifar10,0.2,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1513,0.3575,2.8984375,554.9287109375,0.1369,0.2076,99.6640625,123.1083984375
2022-12-02 08:17:54.263719,cifar10,0.3,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1602,0.3575,2.8984375,554.9287109375,0.1439,0.2761,148.296875,178.1318359375
2022-12-02 08:18:01.787619,cifar10,0.4,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1616,0.3575,2.8984375,554.9287109375,0.1483,0.3202,196.9296875,233.2021484375
2022-12-02 08:18:09.318262,cifar10,0.5,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1664,0.3575,2.8984375,554.9287109375,0.1438,0.3521,245.5625,288.1943359375
2022-12-02 08:18:16.846015,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1779,0.3575,2.8984375,554.9287109375,0.1552,0.3544,294.1953125,343.2177734375
2022-12-02 08:18:24.405195,cifar10,0.7,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1641,0.3575,2.8984375,554.9287109375,0.1523,0.3545,342.828125,398.1552734375
2022-12-02 08:18:31.963658,cifar10,0.8,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.2219,0.3575,2.8984375,554.9287109375,0.1591,0.3576,391.4609375,453.0458984375
2022-12-02 08:18:39.549962,cifar10,0.9,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1596,0.3575,2.8984375,554.9287109375,0.1833,0.357,440.09375,508.013671875
2022-12-02 08:18:47.111780,cifar10,1.0,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1644,0.3575,2.8984375,554.9287109375,0.1919,0.3575,488.7265625,562.818359375
