time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:18:54.705846,cifar10,0.1,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.1661,0.3575,2.8984375,554.9287109375,0.1402,0.1738,51.03125,67.908203125
2022-12-02 08:19:02.209022,cifar10,0.2,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.1664,0.3575,2.8984375,554.9287109375,0.1397,0.1997,99.6640625,123.1240234375
2022-12-02 08:19:09.741994,cifar10,0.3,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.204,0.3575,2.8984375,554.9287109375,0.1463,0.2746,148.296875,178.1318359375
2022-12-02 08:19:17.285868,cifar10,0.4,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.219,0.3575,2.8984375,554.9287109375,0.1446,0.3253,196.9296875,233.0849609375
2022-12-02 08:19:24.864422,cifar10,0.5,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.1584,0.3575,2.8984375,554.9287109375,0.1445,0.3543,245.5625,288.0693359375
2022-12-02 08:19:32.412521,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.1954,0.3575,2.8984375,554.9287109375,0.159,0.3548,294.1953125,342.9755859375
2022-12-02 08:19:39.988496,cifar10,0.7,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.1598,0.3575,2.8984375,554.9287109375,0.1516,0.3531,342.828125,397.9833984375
2022-12-02 08:19:47.525981,cifar10,0.8,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.2162,0.3575,2.8984375,554.9287109375,0.1542,0.3561,391.4609375,452.8583984375
2022-12-02 08:19:55.125123,cifar10,0.9,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.1976,0.3575,2.8984375,554.9287109375,0.1845,0.3565,440.09375,507.857421875
2022-12-02 08:20:02.738803,cifar10,1.0,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.177,0.3575,2.8984375,554.9287109375,0.1922,0.3558,488.7265625,562.537109375
