time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:16:23.709508,cifar10,0.1,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.1684,0.3575,2.8984375,554.9287109375,0.1394,0.1738,51.03125,67.908203125
2022-12-02 08:16:31.246251,cifar10,0.2,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.1592,0.3575,2.8984375,554.9287109375,0.1382,0.1997,99.6640625,123.1240234375
2022-12-02 08:16:38.782132,cifar10,0.3,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.1791,0.3575,2.8984375,554.9287109375,0.1466,0.2746,148.296875,178.1318359375
2022-12-02 08:16:46.355599,cifar10,0.4,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.2126,0.3575,2.8984375,554.9287109375,0.1493,0.3253,196.9296875,233.0849609375
2022-12-02 08:16:53.965777,cifar10,0.5,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.172,0.3575,2.8984375,554.9287109375,0.15,0.3543,245.5625,288.0693359375
2022-12-02 08:17:01.500306,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.1662,0.3575,2.8984375,554.9287109375,0.15,0.3548,294.1953125,342.9755859375
2022-12-02 08:17:09.045685,cifar10,0.7,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.1677,0.3575,2.8984375,554.9287109375,0.1498,0.3531,342.828125,397.9833984375
2022-12-02 08:17:16.584939,cifar10,0.8,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.1551,0.3575,2.8984375,554.9287109375,0.1514,0.3561,391.4609375,452.8583984375
2022-12-02 08:17:24.097091,cifar10,0.9,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.1592,0.3575,2.8984375,554.9287109375,0.183,0.3565,440.09375,507.857421875
2022-12-02 08:17:31.689174,cifar10,1.0,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.1678,0.3575,2.8984375,554.9287109375,0.1993,0.3558,488.7265625,562.537109375
