time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:15:45.625833,mnist,0.1,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.082,0.8706,2.8984375,146.2529296875,0.0972,0.1785,15.28125,18.8232421875
2022-12-02 08:15:49.034745,mnist,0.2,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.083,0.8706,2.8984375,146.2529296875,0.0769,0.4086,28.1640625,33.921875
2022-12-02 08:15:52.437097,mnist,0.3,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.09,0.8706,2.8984375,146.2529296875,0.0867,0.6039,41.046875,48.9990234375
2022-12-02 08:15:55.856601,mnist,0.4,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1088,0.8706,2.8984375,146.2529296875,0.0885,0.7882,53.9296875,64.013671875
2022-12-02 08:15:59.310607,mnist,0.5,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1014,0.8706,2.8984375,146.2529296875,0.0899,0.7904,66.8125,79.068359375
2022-12-02 08:16:02.739469,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.0832,0.8706,2.8984375,146.2529296875,0.0804,0.842,79.6953125,94.0908203125
2022-12-02 08:16:06.174892,mnist,0.7,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.0951,0.8706,2.8984375,146.2529296875,0.0919,0.87,92.578125,109.13671875
2022-12-02 08:16:09.648498,mnist,0.8,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1027,0.8706,2.8984375,146.2529296875,0.082,0.8701,105.4609375,124.1669921875
2022-12-02 08:16:13.108229,mnist,0.9,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.0878,0.8706,2.8984375,146.2529296875,0.0904,0.8705,118.34375,139.1982421875
2022-12-02 08:16:16.529683,mnist,1.0,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.0979,0.8706,2.8984375,146.2529296875,0.1318,0.8706,131.2265625,154.142578125
