time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:14:36.823611,mnist,0.1,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1021,0.8706,2.8984375,146.2529296875,0.0831,0.1785,15.28125,18.8232421875
2022-12-02 08:14:40.250464,mnist,0.2,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.0951,0.8706,2.8984375,146.2529296875,0.1086,0.4086,28.1640625,33.921875
2022-12-02 08:14:43.688035,mnist,0.3,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.0977,0.8706,2.8984375,146.2529296875,0.0892,0.6039,41.046875,48.9990234375
2022-12-02 08:14:47.149234,mnist,0.4,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.0964,0.8706,2.8984375,146.2529296875,0.0793,0.7882,53.9296875,64.013671875
2022-12-02 08:14:50.617640,mnist,0.5,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.115,0.8706,2.8984375,146.2529296875,0.0899,0.7904,66.8125,79.068359375
2022-12-02 08:14:54.077208,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.0881,0.8706,2.8984375,146.2529296875,0.0887,0.842,79.6953125,94.0908203125
2022-12-02 08:14:57.522817,mnist,0.7,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1467,0.8706,2.8984375,146.2529296875,0.0989,0.87,92.578125,109.13671875
2022-12-02 08:15:01.024758,mnist,0.8,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.0814,0.8706,2.8984375,146.2529296875,0.1012,0.8701,105.4609375,124.1669921875
2022-12-02 08:15:04.481192,mnist,0.9,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1025,0.8706,2.8984375,146.2529296875,0.0786,0.8705,118.34375,139.1982421875
2022-12-02 08:15:07.927262,mnist,1.0,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.101,0.8706,2.8984375,146.2529296875,0.0907,0.8706,131.2265625,154.142578125
