time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:15:11.360759,mnist,0.1,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.0947,0.8706,2.8984375,146.2529296875,0.0957,0.1873,15.28125,18.7763671875
2022-12-02 08:15:14.815671,mnist,0.2,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.0883,0.8706,2.8984375,146.2529296875,0.0849,0.4044,28.1640625,33.84375
2022-12-02 08:15:18.248133,mnist,0.3,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.0792,0.8706,2.8984375,146.2529296875,0.105,0.5981,41.046875,48.8740234375
2022-12-02 08:15:21.676264,mnist,0.4,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.0916,0.8706,2.8984375,146.2529296875,0.0889,0.7774,53.9296875,63.880859375
2022-12-02 08:15:25.120380,mnist,0.5,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.065,0.8706,2.8984375,146.2529296875,0.0479,0.7794,66.8125,78.904296875
2022-12-02 08:15:28.458111,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.0906,0.8706,2.8984375,146.2529296875,0.0925,0.8409,79.6953125,93.9501953125
2022-12-02 08:15:31.919746,mnist,0.7,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.0635,0.8706,2.8984375,146.2529296875,0.0507,0.8572,92.578125,108.94921875
2022-12-02 08:15:35.313977,mnist,0.8,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.0952,0.8706,2.8984375,146.2529296875,0.082,0.8653,105.4609375,123.9013671875
2022-12-02 08:15:38.753436,mnist,0.9,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.0905,0.8706,2.8984375,146.2529296875,0.0821,0.8637,118.34375,138.8857421875
2022-12-02 08:15:42.186599,mnist,1.0,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.0827,0.8706,2.8984375,146.2529296875,0.1203,0.8639,131.2265625,153.728515625
