time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:14:02.495614,mnist,0.1,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.1089,0.8706,2.8984375,146.2529296875,0.0622,0.1873,15.28125,18.7763671875
2022-12-02 08:14:05.892972,mnist,0.2,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.0838,0.8706,2.8984375,146.2529296875,0.0967,0.4044,28.1640625,33.84375
2022-12-02 08:14:09.304075,mnist,0.3,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.0794,0.8706,2.8984375,146.2529296875,0.075,0.5981,41.046875,48.8740234375
2022-12-02 08:14:12.735957,mnist,0.4,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.115,0.8706,2.8984375,146.2529296875,0.0902,0.7774,53.9296875,63.880859375
2022-12-02 08:14:16.232615,mnist,0.5,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.0947,0.8706,2.8984375,146.2529296875,0.0785,0.7794,66.8125,78.904296875
2022-12-02 08:14:19.683669,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.0839,0.8706,2.8984375,146.2529296875,0.0802,0.8409,79.6953125,93.9501953125
2022-12-02 08:14:23.094046,mnist,0.7,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.0925,0.8706,2.8984375,146.2529296875,0.0909,0.8572,92.578125,108.94921875
2022-12-02 08:14:26.519793,mnist,0.8,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.095,0.8706,2.8984375,146.2529296875,0.1148,0.8653,105.4609375,123.9013671875
2022-12-02 08:14:29.987164,mnist,0.9,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.0792,0.8706,2.8984375,146.2529296875,0.0815,0.8637,118.34375,138.8857421875
2022-12-02 08:14:33.380764,mnist,1.0,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.0885,0.8706,2.8984375,146.2529296875,0.0902,0.8639,131.2265625,153.728515625
