time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,train_time,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-01 08:27:20.516682,mnist,0.1,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,131.63,0.0894,0.8751,257.6611328125,127.908203125,0.0865,0.1057,142.9228515625,14.36328125
2022-12-01 08:29:33.617876,mnist,0.2,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,124.2108,0.0902,0.8816,257.6611328125,127.908203125,0.0858,0.3383,155.8056640625,27.8271484375
2022-12-01 08:31:39.254313,mnist,0.3,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,124.1194,0.0905,0.8599,257.6611328125,127.908203125,0.0888,0.5889,168.6884765625,41.2880859375
2022-12-01 08:33:44.815861,mnist,0.4,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,123.379,0.0888,0.8787,257.6611328125,127.908203125,0.0875,0.7964,181.5712890625,54.751953125
2022-12-01 08:35:49.621440,mnist,0.5,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,122.9661,0.0875,0.8703,257.6611328125,127.908203125,0.0862,0.7759,194.4541015625,68.2216796875
2022-12-01 08:37:53.964876,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,123.8642,0.0901,0.8464,257.6611328125,127.908203125,0.0903,0.8449,207.3369140625,81.6826171875
2022-12-01 08:39:59.278154,mnist,0.7,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,124.642,0.0899,0.8853,257.6611328125,127.908203125,0.0925,0.8841,220.2197265625,95.1435546875
2022-12-01 08:42:05.378120,mnist,0.8,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,124.357,0.0895,0.8659,257.6611328125,127.908203125,0.091,0.866,233.1025390625,108.6044921875
2022-12-01 08:44:11.112715,mnist,0.9,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,123.5308,0.091,0.8574,257.6611328125,127.908203125,0.0897,0.8573,245.9853515625,122.0654296875
2022-12-01 08:46:16.059871,mnist,1.0,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,125.2597,0.0889,0.8804,257.6611328125,127.908203125,0.0931,0.8804,258.8681640625,135.5263671875
