time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,train_time,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-01 08:06:14.547836,mnist,0.1,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,123.2253,0.0859,0.8646,257.6611328125,127.908203125,0.0858,0.1205,257.6884765625,127.908203125
2022-12-01 08:08:19.204954,mnist,0.2,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,124.9537,0.0896,0.8653,257.6611328125,127.908203125,0.088,0.3849,257.6884765625,127.908203125
2022-12-01 08:10:25.609392,mnist,0.3,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,125.1895,0.0907,0.8745,257.6611328125,127.908203125,0.0895,0.6019,257.6884765625,127.908203125
2022-12-01 08:12:32.209525,mnist,0.4,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,123.8893,0.0892,0.8987,257.6611328125,127.908203125,0.0886,0.7181,257.6884765625,127.908203125
2022-12-01 08:14:37.497086,mnist,0.5,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,125.9754,0.0933,0.8731,257.6611328125,127.908203125,0.0936,0.8481,257.6884765625,127.908203125
2022-12-01 08:16:44.907448,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,124.9549,0.09,0.8922,257.6611328125,127.908203125,0.0872,0.8915,257.6884765625,127.908203125
2022-12-01 08:18:51.302051,mnist,0.7,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,124.1659,0.0888,0.8717,257.6611328125,127.908203125,0.0874,0.8712,257.6884765625,127.908203125
2022-12-01 08:20:56.915081,mnist,0.8,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,126.5378,0.0914,0.8616,257.6611328125,127.908203125,0.0911,0.8618,257.6884765625,127.908203125
2022-12-01 08:23:04.895575,mnist,0.9,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,124.6512,0.0914,0.849,257.6611328125,127.908203125,0.0914,0.8492,257.6884765625,127.908203125
2022-12-01 08:25:11.012145,mnist,1.0,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,128.0719,0.093,0.8912,257.6611328125,127.908203125,0.091,0.8912,257.6884765625,127.908203125
