time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,train_time,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-01 05:33:46.233912,mnist,0.1,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,124.9577,0.0912,0.8627,257.6611328125,127.908203125,0.0885,0.1553,142.9228515625,14.36328125
2022-12-01 05:35:52.574446,mnist,0.2,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,124.8186,0.0913,0.8714,257.6611328125,127.908203125,0.0886,0.3962,155.8056640625,27.8271484375
2022-12-01 05:37:58.758980,mnist,0.3,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,124.6857,0.0902,0.8571,257.6611328125,127.908203125,0.0891,0.5151,168.6884765625,41.2880859375
2022-12-01 05:40:04.843922,mnist,0.4,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,124.5229,0.0893,0.8983,257.6611328125,127.908203125,0.0891,0.7303,181.5712890625,54.751953125
2022-12-01 05:42:10.791474,mnist,0.5,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,124.8158,0.0911,0.8618,257.6611328125,127.908203125,0.0905,0.7747,194.4541015625,68.2216796875
2022-12-01 05:44:17.039643,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,124.1847,0.0901,0.886,257.6611328125,127.908203125,0.0903,0.7848,207.3369140625,81.6826171875
2022-12-01 05:46:22.663122,mnist,0.7,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,125.0856,0.0895,0.8389,257.6611328125,127.908203125,0.091,0.7465,220.2197265625,95.1435546875
2022-12-01 05:48:29.133181,mnist,0.8,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,123.4826,0.0896,0.866,257.6611328125,127.908203125,0.0889,0.748,233.1025390625,108.6044921875
2022-12-01 05:50:34.018363,mnist,0.9,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,124.8528,0.0904,0.8843,257.6611328125,127.908203125,0.0916,0.7651,245.9853515625,122.0654296875
2022-12-01 05:52:40.297299,mnist,1.0,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,124.117,0.0909,0.8705,257.6611328125,127.908203125,0.0929,0.759,258.8681640625,135.5263671875
