time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,train_time,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-01 05:12:48.073457,mnist,0.1,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,124.0609,0.0893,0.8855,257.6611328125,127.908203125,0.0887,0.075,257.6884765625,127.908203125
2022-12-01 05:14:53.555973,mnist,0.2,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,124.1832,0.0901,0.8806,257.6611328125,127.908203125,0.0884,0.3895,257.6884765625,127.908203125
2022-12-01 05:16:59.132668,mnist,0.3,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,124.059,0.0899,0.8634,257.6611328125,127.908203125,0.088,0.5609,257.6884765625,127.908203125
2022-12-01 05:19:04.573926,mnist,0.4,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,123.9803,0.0894,0.8669,257.6611328125,127.908203125,0.0876,0.777,257.6884765625,127.908203125
2022-12-01 05:21:09.949423,mnist,0.5,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,123.6037,0.0891,0.8857,257.6611328125,127.908203125,0.0869,0.798,257.6884765625,127.908203125
2022-12-01 05:23:15.019172,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,124.9727,0.0909,0.8591,257.6611328125,127.908203125,0.0899,0.7885,257.6884765625,127.908203125
2022-12-01 05:25:21.454036,mnist,0.7,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,124.4436,0.092,0.8719,257.6611328125,127.908203125,0.0897,0.7416,257.6884765625,127.908203125
2022-12-01 05:27:27.336610,mnist,0.8,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,126.3816,0.0917,0.8838,257.6611328125,127.908203125,0.0916,0.8154,257.6884765625,127.908203125
2022-12-01 05:29:35.127508,mnist,0.9,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,123.812,0.0897,0.8338,257.6611328125,127.908203125,0.089,0.8157,257.6884765625,127.908203125
2022-12-01 05:31:40.361530,mnist,1.0,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,124.4426,0.0896,0.8671,257.6611328125,127.908203125,0.0892,0.7583,257.6884765625,127.908203125
